```json
{
  "product": "Adobe Experience Platform",
  "tiers": [
    {"id": 1, "title": "Platform Foundation", "rationale": "Core infrastructure and access controls that enable everything else"},
    {"id": 2, "title": "Data Architecture", "rationale": "Schemas and data modeling that define structure for all data"},
    {"id": 3, "title": "Data Collection", "rationale": "Getting data into the platform using the defined schemas"},
    {"id": 4, "title": "Data Storage & Catalog", "rationale": "Managing and organizing collected data within the platform"},
    {"id": 5, "title": "Identity Foundation", "rationale": "Core identity resolution that enables unified customer profiles"},
    {"id": 6, "title": "Profile & Segmentation", "rationale": "Building unified profiles and audiences from identified data"},
    {"id": 7, "title": "Data Processing & Analytics", "rationale": "Advanced analysis and ML capabilities that operate on profiles and data"},
    {"id": 8, "title": "Activation & Destinations", "rationale": "Sending processed data and audiences to external systems"},
    {"id": 9, "title": "Governance & Privacy", "rationale": "Controls and compliance that govern all data operations"},
    {"id": 10, "title": "Monitoring & Operations", "rationale": "Observing and managing the running platform"},
    {"id": 11, "title": "Advanced Applications", "rationale": "Specialized tools and applications built on the platform foundation"}
  ],
  "subchapters": [
    {"code": "1a", "tier": 1, "title": "Platform Overview"},
    {"code": "1b", "tier": 1, "title": "Access Control"},
    {"code": "1c", "tier": 1, "title": "Sandboxes"},
    {"code": "2a", "tier": 2, "title": "XDM Schemas"},
    {"code": "3a", "tier": 3, "title": "Data Collection SDK"},
    {"code": "3b", "tier": 3, "title": "Sources & Ingestion"},
    {"code": "3c", "tier": 3, "title": "Data Prep"},
    {"code": "4a", "tier": 4, "title": "Catalog & Datasets"},
    {"code": "4b", "tier": 4, "title": "Datastreams"},
    {"code": "5a", "tier": 5, "title": "Identity Service"},
    {"code": "6a", "tier": 6, "title": "Real-Time Customer Profile"},
    {"code": "6b", "tier": 6, "title": "Segmentation"},
    {"code": "7a", "tier": 7, "title": "Query Service"},
    {"code": "7b", "tier": 7, "title": "Data Science Workspace"},
    {"code": "7c", "tier": 7, "title": "Intelligent Services"},
    {"code": "8a", "tier": 8, "title": "Destinations"},
    {"code": "8b", "tier": 8, "title": "Real-Time CDP"},
    {"code": "9a", "tier": 9, "title": "Data Governance"},
    {"code": "9b", "tier": 9, "title": "Privacy Service"},
    {"code": "10a", "tier": 10, "title": "Observability"},
    {"code": "10b", "tier": 10, "title": "Dataflows Monitoring"},
    {"code": "10c", "tier": 10, "title": "Run & Operate"},
    {"code": "11a", "tier": 11, "title": "Dashboards"},
    {"code": "11b", "tier": 11, "title": "AI Assistant"},
    {"code": "11c", "tier": 11, "title": "Assurance"},
    {"code": "11d", "tier": 11, "title": "Use Case Playbooks"},
    {"code": "11e", "tier": 11, "title": "Expanded Activation"},
    {"code": "11f", "tier": 11, "title": "Advanced Data Lifecycle"},
    {"code": "11g", "tier": 11, "title": "Unified Tags"},
    {"code": "11h", "tier": 11, "title": "Platform Debugger"},
